PerfectFlite SLCF
Firmware: 1.0
Software: 1.1
Serial Number: 3971
Apogee: 1883' AGL
Ground Elevation: -344' MSL
NumSamps: 920
Flight Number: 3
Main Setting: 500' AGL
Apogee Delay: 0 Seconds
Drogue At: 10.95 Seconds
Main At: 35.15 Seconds
Max Drogue Current: 3 Amps
Max Main Current: 3 Amps
Comments: 
Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
9.45, 1834, 58, 46.60, 9.40
19.75, 1409, -58, 46.40, 9.40
19.80, 1405, -57, 46.40, 9.40
19.85, 1400, -57, 46.40, 9.40
19.90, 1396, -57, 46.38, 9.40
19.95, 1392, -56, 46.40, 9.40
20.00, 1389, -56, 46.40, 9.40
20.05, 1386, -55, 46.40, 9.40
20.10, 1382, -55, 46.38, 9.40
20.15, 1376, -55, 46.40, 9.40
20.20, 1372, -55, 46.38, 9.40
20.25, 1368, -56, 46.38, 9.40
20.30, 1362, -57, 46.40, 9.40
20.35, 1359, -58, 46.38, 9.40
20.40, 1360, -59, 46.38, 9.40
20.45, 1360, -60, 46.40, 9.40
20.50, 1358, -61, 46.38, 9.40
20.55, 1362, -62, 46.40, 9.40
20.60, 1359, -63, 46.38, 9.40
20.65, 1356, -64, 46.38, 9.40
20.70, 1352, -64, 46.38, 9.40
20.75, 1350, -65, 46.38, 9.40
20.80, 1349, -65, 46.38, 9.40
20.85, 1344, -64, 46.40, 9.40
20.90, 1340, -63, 46.38, 9.40
20.95, 1336, -63, 46.38, 9.40
21.00, 1343, -62, 46.38, 9.40
21.05, 1333, -62, 46.38, 9.40
21.10, 1331, -61, 46.38, 9.40
21.15, 1323, -60, 46.38, 9.40
21.20, 1319, -59, 46.38, 9.40
21.25, 1316, -58, 46.38, 9.40
21.30, 1313, -58, 46.38, 9.40
21.35, 1308, -57, 46.38, 9.40
21.40, 1307, -58, 46.38, 9.40
21.45, 1306, -59, 46.38, 9.40
21.50, 1299, -60, 46.38, 9.40
21.55, 1292, -62, 46.38, 9.40
21.60, 1288, -62, 46.38, 9.40
21.65, 1284, -62, 46.38, 9.40
21.70, 1282, -61, 46.38, 9.40
21.75, 1277, -59, 46.35, 9.40
21.80, 1275, -58, 46.35, 9.40
21.85, 1273, -57, 46.35, 9.40
21.90, 1270, -57, 46.35, 9.40
21.95, 1268, -58, 46.36, 9.40
22.00, 1266, -58, 46.35, 9.40
22.05, 1262, -59, 46.36, 9.40
22.10, 1258, -59, 46.35, 9.40
